Time,Voltage,Current_L,Current_R,Current_C,Power_R,Power_Total
      0.02160000,      5.01968914,      0.48104136,      0.05019689,      0.43084446,      0.25197279,     11.54499253,
      0.02180000,      5.10615070,      0.48482878,      0.05106151,      0.43376727,      0.26072775,     11.63589075,
      0.02200000,      5.19319451,      0.48859886,      0.05193195,      0.43666691,      0.26969269,     11.72637255,
      0.02220000,      5.28081592,      0.49235146,      0.05280816,      0.43954331,      0.27887017,     11.81643516,
      0.02240000,      5.36901028,      0.49608649,      0.05369010,      0.44239639,      0.28826271,     11.90607580,
      0.02260000,      5.45777292,      0.49980382,      0.05457773,      0.44522609,      0.29787285,     11.99529175,
      0.02280000,      5.54709915,      0.50350334,      0.05547099,      0.44803235,      0.30770309,     12.08408028,
      0.02300000,      5.63698429,      0.50718495,      0.05636984,      0.45081510,      0.31775592,     12.17243870,
      0.02320000,      5.72742362,      0.51084851,      0.05727424,      0.45357428,      0.32803381,     12.26036434,
      0.02340000,      5.81841242,      0.51449394,      0.05818412,      0.45630982,      0.33853923,     12.34785455,
      0.02360000,      5.90994596,      0.51812111,      0.05909946,      0.45902165,      0.34927461,     12.43490671,
      0.02380000,      6.00201950,      0.52172993,      0.06002020,      0.46170973,      0.36024238,     12.52151821,
      0.02400000,      6.09462827,      0.52532027,      0.06094628,      0.46437399,      0.37144494,     12.60768647,
      0.02420000,      6.18776751,      0.52889204,      0.06187768,      0.46701436,      0.38288467,     12.69340893,
      0.02440000,      6.28143243,      0.53244513,      0.06281432,      0.46963080,      0.39456393,     12.77868306,
      0.02460000,      6.37561823,      0.53597943,      0.06375618,      0.47222325,      0.40648508,     12.86350635,
      0.02480000,      6.47032012,      0.53949485,      0.06470320,      0.47479164,      0.41865042,     12.94787630,
      0.02500000,      6.56553328,      0.54299127,      0.06565533,      0.47733594,      0.43106227,     13.03179045,
      0.02520000,      6.66125288,      0.54646860,      0.06661253,      0.47985607,      0.44372290,     13.11524637,
      0.02540000,      6.75747409,      0.54992673,      0.06757474,      0.48235199,      0.45663456,     13.19824162,
      0.02560000,      6.85419206,      0.55336558,      0.06854192,      0.48482366,      0.46979949,     13.28077382,
      0.02580000,      6.95140193,      0.55678502,      0.06951402,      0.48727101,      0.48321989,     13.36284059,
      0.02600000,      7.04909884,      0.56018498,      0.07049099,      0.48969399,      0.49689794,     13.44443958,
      0.02620000,      7.14727790,      0.56356535,      0.07147278,      0.49209257,      0.51083581,     13.52556847,
      0.02640000,      7.24593424,      0.56692604,      0.07245934,      0.49446670,      0.52503563,     13.60622495,
      0.02660000,      7.34506296,      0.57026695,      0.07345063,      0.49681632,      0.53949950,     13.68640675,
