        2-nd order single ODE 
     Method: Runge-Kutta 4th order
    t       x(t)        v(t)        energy
   3.82000  -1.81889  -6.24032  21.12500
   3.83000  -1.88120  -6.22182  21.12500
   3.84000  -1.94332  -6.20270  21.12500
   3.85000  -2.00525  -6.18296  21.12500
   3.86000  -2.06698  -6.16260  21.12500
   3.87000  -2.12850  -6.14162  21.12500
   3.88000  -2.18981  -6.12003  21.12500
   3.89000  -2.25090  -6.09782  21.12500
   3.90000  -2.31177  -6.07501  21.12500
   3.91000  -2.37240  -6.05159  21.12500
   3.92000  -2.43280  -6.02756  21.12500
   3.93000  -2.49295  -6.00293  21.12500
   3.94000  -2.55285  -5.97770  21.12500
   3.95000  -2.61250  -5.95188  21.12500
   3.96000  -2.67189  -5.92545  21.12500
   3.97000  -2.73101  -5.89844  21.12500
   3.98000  -2.78985  -5.87084  21.12500
   3.99000  -2.84842  -5.84264  21.12500
   4.00000  -2.90671  -5.81387  21.12500
   4.01000  -2.96470  -5.78451  21.12500
   4.02000  -3.02239  -5.75458  21.12500
   4.03000  -3.07979  -5.72406  21.12500
   4.04000  -3.13687  -5.69298  21.12500
   4.05000  -3.19365  -5.66133  21.12500
   4.06000  -3.25010  -5.62911  21.12500
   4.07000  -3.30623  -5.59633  21.12500
   4.08000  -3.36202  -5.56299  21.12500
   4.09000  -3.41748  -5.52909  21.12500
   4.10000  -3.47260  -5.49464  21.12500
   4.11000  -3.52737  -5.45964  21.12500
   4.12000  -3.58179  -5.42409  21.12500
   4.13000  -3.63585  -5.38800  21.12500
   4.14000  -3.68955  -5.35137  21.12500
   4.15000  -3.74288  -5.31421  21.12500
   4.16000  -3.79583  -5.27652  21.12500
   4.17000  -3.84841  -5.23830  21.12500
   4.18000  -3.90060  -5.19955  21.12500
   4.19000  -3.95240  -5.16029  21.12500
   4.20000  -4.00380  -5.12050  21.12500
   4.21000  -4.05481  -5.08021  21.12500
   4.22000  -4.10540  -5.03941  21.12500
